date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:40	5310/5310	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22569c9f3d-247c%22	http://onstore-apphack.github.io/robots.txt		(from )
20:22:41	3699/3699	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Aug%202015%2000:30:05%20GMT	http://onstore-apphack.github.io/products_card/	C:/Users/akshat/Desktop/pro/onstore-apphack.github.io/products_card/index.html	(from )
20:22:42	2100/2100	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Aug%202015%2000:30:05%20GMT	http://onstore-apphack.github.io/products_card/css/normalize.css	C:/Users/akshat/Desktop/pro/onstore-apphack.github.io/products_card/css/normalize.css	(from http://onstore-apphack.github.io/products_card/)
20:22:44	21984/21984	---MCZ	200	added ('OK')	text/css	etag:W/%22feda974a77ea5783b8be673f142b7c88%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	C:/Users/akshat/Desktop/pro/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from http://onstore-apphack.github.io/products_card/)
20:22:45	4098/4098	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Aug%202015%2000:30:05%20GMT	http://onstore-apphack.github.io/products_card/css/style.css	C:/Users/akshat/Desktop/pro/onstore-apphack.github.io/products_card/css/style.css	(from http://onstore-apphack.github.io/products_card/)
20:23:19	31035/31035	---M--	200	added ('OK')	image/jpeg	etag:%22c573456b676bf300a9cef9b6c569acc6%22	https://static.catchoftheday.com.au/images/product/0001/1263/53969a9642eba671663529_w306h250.jpg	C:/Users/akshat/Desktop/pro/static.catchoftheday.com.au/images/product/0001/1263/53969a9642eba671663529_w306h250.jpg	(from http://onstore-apphack.github.io/products_card/)
20:23:46	97120/97120	---M-Z	200	added ('OK')	application/x-javascript	etag:%225701d804-83c8%22	http://codepen.io/assets/libs/fullpage/jquery.js	C:/Users/akshat/Desktop/pro/codepen.io/assets/libs/fullpage/jquery.js	(from http://onstore-apphack.github.io/products_card/)
20:24:18	123553/123553	---M--	200	added ('OK')	image/jpeg	etag:%22dfa7afb2f3f7ba6da27b0f47646f49b1%22	http://media.onsugar.com/files/2010/09/38/1/192/1922195/93d066546c69e5f9_soda-poll.jpg	C:/Users/akshat/Desktop/pro/media.onsugar.com/files/2010/09/38/1/192/1922195/93d066546c69e5f9_soda-poll.jpg	(from http://onstore-apphack.github.io/products_card/)
20:24:19	282544/282544	---M--	200	added ('OK')	image/jpeg	etag:%220a62b974fb7ca1:333c%22	http://www.discoverlancaster.com/Uploads/Members/kauffman_s_fruit_farm_and_market/Main/kauffmans_fruit_4.jpg	C:/Users/akshat/Desktop/pro/www.discoverlancaster.com/Uploads/Members/kauffman_s_fruit_farm_and_market/Main/kauffmans_fruit_4.jpg	(from http://onstore-apphack.github.io/products_card/)
20:24:22	22981/22981	---M--	200	added ('OK')	text/javascript	etag:%226dc4057821cf7946d1ae062cc82b1dc4%22	https://s3-us-west-2.amazonaws.com/s.cdpn.io/203277/cycle2.js	C:/Users/akshat/Desktop/pro/s3-us-west-2.amazonaws.com/s.cdpn.io/203277/cycle2.js	(from http://onstore-apphack.github.io/products_card/)
20:24:27	4493/4493	---M--	200	added ('OK')	image/jpeg	etag:%221477198064e0fee270b8e74837be248e%22	https://s3-us-west-2.amazonaws.com/s.cdpn.io/203277/widget_nav_bg.jpg	C:/Users/akshat/Desktop/pro/s3-us-west-2.amazonaws.com/s.cdpn.io/203277/widget_nav_bg.jpg	(from http://onstore-apphack.github.io/products_card/css/style.css)
20:26:03	1174914/1174914	UR-M--	200	added ('Partial%20Content')	image/jpeg	date:Mon,%2017%20Jun%202013%2023:25:39%20GMT	http://www.horsingaroundinla.com/wp-content/uploads/2013/06/1CBias4.jpg	C:/Users/akshat/Desktop/pro/www.horsingaroundinla.com/wp-content/uploads/2013/06/1CBias4.jpg	(from http://onstore-apphack.github.io/products_card/)
